package|author|rank.a|rank.m|n.roles|total.authors|total.roles|total.extra|total.extra2|cph
OpenMx|Charles Driver|21|NA|1|37|39|0|0|0
OpenMx|Massachusetts Institute of Technology|22|NA|1|37|39|0|0|1
OpenMx|S. G. Johnson|23|NA|1|37|39|0|0|1
OpenMx|Association for Computing Machinery|24|NA|1|37|39|0|0|1
OpenMx|Dieter Kraft|25|NA|1|37|39|0|0|1
OpenMx|Stefan Wilhelm|26|NA|1|37|39|0|0|1
OpenMx|Sarah Medland|27|NA|1|37|39|0|0|1
OpenMx|Carl F. Falk|28|NA|1|37|39|0|0|1
OpenMx|Matt Keller|29|NA|1|37|39|0|0|1
OpenMx|Manjunath B G|30|NA|1|37|39|0|0|1
OpenMx|The Regents of the University of California|31|NA|1|37|39|0|0|1
OpenMx|Lester Ingber|32|NA|1|37|39|0|0|1
OpenMx|Wong Shao Voon|33|NA|1|37|39|0|0|1
OpenMx|Juan Palacios|34|NA|1|37|39|0|0|1
OpenMx|Jiang Yang|35|NA|1|37|39|0|0|1
OpenMx|Gael Guennebaud|36|NA|1|37|39|0|0|1
OpenMx|Jitse Niesen|37|NA|1|37|39|0|0|1
prevR|Joseph Larmarange|1|1|3|1|3|0|0|0
rminer|Paulo Cortez|1|1|3|1|3|0|0|0
rsnps|Julia Gustavsen|1|1|3|5|7|0|0|0
rsnps|Sina Rüeger|2|NA|1|5|7|0|0|0
rsnps|Scott Chamberlain|3|NA|1|5|7|0|0|0
rsnps|Kevin Ushey|4|NA|1|5|7|0|0|0
rsnps|Hao Zhu|5|NA|1|5|7|0|0|0
shapper|Szymon Maksymiuk|1|1|3|5|7|0|0|0
shapper|Alicja Gosiewska|2|NA|1|5|7|0|0|0
shapper|Przemyslaw Biecek|3|NA|1|5|7|0|0|0
shapper|Mateusz Staniak|4|NA|1|5|7|0|0|0
shapper|Michal Burdukiewicz|5|NA|1|5|7|0|0|0
skedastic|Thomas Farrar|1|1|3|2|4|0|0|0
skedastic|University of the Western Cape|2|NA|1|2|4|0|0|1
survxai|Aleksandra Grudziaz|1|1|3|3|6|0|0|0
survxai|Alicja Gosiewska|2|NA|1|3|6|0|0|0
survxai|Przemyslaw Biecek|3|NA|2|3|6|0|0|0
ANOVAShiny2|Kartikeya Bolar|1|1|2|1|2|0|0|0
anytime|Dirk Eddelbuettel|1|1|2|1|2|0|0|0
BayesBP|Li-Syuan Hong|1|1|3|1|3|0|0|0
climextRemes|Christopher Paciorek|1|1|3|2|4|0|0|0
climextRemes|Harinarayan Krishnan|2|NA|1|2|4|0|0|0
conquer|Xuming He|1|NA|1|4|6|0|0|0
conquer|Xiaoou Pan|2|1|3|4|6|0|0|0
conquer|Kean Ming Tan|3|NA|1|4|6|0|0|0
conquer|Wen-Xin Zhou|4|NA|1|4|6|0|0|0
ecm|Gaurav Bansal|1|1|2|1|2|0|0|0
ExtremeRisks|Simone Padoan|1|1|3|4|6|0|0|0
ExtremeRisks|Gilles Stupfler|2|NA|1|4|6|0|0|0
ExtremeRisks|Bocconi Institute for Data Science and Analytics|3|NA|1|4|6|0|0|0
ExtremeRisks|French National Research|4|NA|1|4|6|0|0|0
fst|Mark Klik|1|1|4|3|7|0|0|1
fst|Yann Collet|2|NA|2|3|7|0|0|1
fst|Facebook, Inc|3|NA|1|3|7|0|0|1
g3viz|Xin Guo|1|1|3|1|3|0|0|0
gdalcubes|Marius Appel|1|1|3|11|13|0|0|0
gdalcubes|Edzer Pebesma|2|NA|1|11|13|0|0|0
gdalcubes|Roger Bivand|3|NA|1|11|13|0|0|0
gdalcubes|Lewis Van Winkle|4|NA|1|11|13|0|0|1
gdalcubes|Ole Christian Eidheim|5|NA|1|11|13|0|0|1
gdalcubes|Howard Hinnant|6|NA|1|11|13|0|0|1
gdalcubes|Adrian Colomitchi|7|NA|1|11|13|0|0|1
gdalcubes|Florian Dang|8|NA|1|11|13|0|0|1
gdalcubes|Paul Thompson|9|NA|1|11|13|0|0|1
gdalcubes|Tomasz Kamiński|10|NA|1|11|13|0|0|1
gdalcubes|Dropbox, Inc|11|NA|1|11|13|0|0|1
glue|Jim Hester|1|1|3|1|3|0|0|0
gprofiler2|Liis Kolberg|1|1|2|2|3|0|0|0
gprofiler2|Uku Raudvere|2|NA|1|2|3|0|0|0
iCARH|Takoua Jendoubi|1|1|3|2|4|0|0|0
iCARH|Timothy M.D. Ebbels|2|NA|1|2|4|0|0|0
intmed|Gary Chan|1|1|4|1|4|0|0|1
logib|Jonathan Chassot|1|1|3|3|6|0|0|0
logib|Jeremy Kolly|2|NA|1|3|6|0|0|0
logib|Federal Office for Gender Equality of Switzerland|3|NA|2|3|6|0|0|1
mgcv|Simon Wood|1|1|2|1|2|0|0|0
ncmeta|Michael Sumner|1|1|3|4|6|0|0|0
ncmeta|Tomas Remenyi|2|NA|1|4|6|0|0|0
ncmeta|Ben Raymond|3|NA|1|4|6|0|0|0
ncmeta|David Blodgett|4|NA|1|4|6|0|0|0
nlstimedist|Nathan Eastwood [aut|1|NA|1|6|6|0|0|0
nlstimedist|cre|2|NA|1|6|6|0|0|0
nlstimedist|prg|3|NA|1|6|6|0|0|0
nlstimedist|trl|4|NA|1|6|6|0|0|0
nlstimedist|ctr] Nicola Steer  [ctb] Miguel Franco  [ctb] Paul Ramsay  [ctb]  nlstimedist author details|5|NA|1|6|6|0|0|0
nlstimedist|Nathan Eastwood|NA|1|1|6|6|0|0|0
ores|Os Keyes|1|1|3|3|5|0|0|0
ores|Aaron Halfaker|2|NA|1|3|5|0|0|0
ores|Yuvi Panda|3|NA|1|3|5|0|0|0
pedquant|Shichen Xie|1|1|3|1|3|0|0|0
photobiology|Pedro J. Aphalo|1|1|3|4|6|0|0|0
photobiology|Titta K. Kotilainen|2|NA|1|4|6|0|0|0
photobiology|Glenn Davis|3|NA|1|4|6|0|0|0
photobiology|Agnese Fazio|4|NA|1|4|6|0|0|0
ptvapi|David Neuzerling|1|1|4|1|4|0|0|1
rmdwc|Sigbert Klinke|1|1|3|1|3|0|0|0
santoku|David Hugh-Jones|1|1|3|1|3|0|0|0
sapfluxnetr|Victor Granda|1|1|3|5|7|0|0|0
sapfluxnetr|Rafael Poyatos|2|NA|1|5|7|0|0|0
sapfluxnetr|Victor Flo|3|NA|1|5|7|0|0|0
sapfluxnetr|Jacob Nelson|4|NA|1|5|7|0|0|0
sapfluxnetr|Sapfluxnet Core Team|5|NA|1|5|7|0|0|1
season|Adrian Barnett|1|1|2|2|3|0|0|0
season|Peter Baker|2|NA|1|2|3|0|0|0
TAG|Li-Hsiang Lin|1|1|2|2|3|0|0|0
TAG|V. Roshan Joseph|2|NA|1|2|3|0|0|0
tidyr|Hadley Wickham|1|1|3|2|4|0|0|0
tidyr|RStudio|2|NA|1|2|4|0|0|1
traits|Scott Chamberlain|1|1|3|7|9|0|0|0
traits|Zachary Foster|2|NA|1|7|9|0|0|0
traits|Ignasi Bartomeus|3|NA|1|7|9|0|0|0
traits|David LeBauer|4|NA|1|7|9|0|0|0
traits|Chris Black|5|NA|1|7|9|0|0|0
traits|David Harris|6|NA|1|7|9|0|0|0
traits|Rupert Collins|7|NA|1|7|9|0|0|0
trimetStops|Grayson White|1|1|3|2|4|0|0|0
trimetStops|Brendan Mobley|2|NA|1|2|4|0|0|0
vov|Tyler Littlefield|1|1|3|3|6|0|0|0
vov|Vaibhav Tandon|2|NA|2|3|6|0|0|1
vov|Danube Huynhle|3|NA|1|3|6|0|0|0
wnl|Kyun-Seop Bae|1|1|2|1|2|0|0|0
zip|Gábor Csárdi|1|1|2|3|4|0|0|0
zip|Kuba Podgórski|2|NA|1|3|4|0|0|0
zip|Rich Geldreich|3|NA|1|3|4|0|0|0
adiv|Sandrine Pavoine|1|1|2|1|2|0|0|0
AICcmodavg|Marc J. Mazerolle|1|1|2|1|2|0|0|0
BDgraph|Reza Mohammadi|1|1|3|3|5|0|0|0
BDgraph|Ernst Wit|2|NA|1|3|5|0|0|0
BDgraph|Adrian Dobra|3|NA|1|3|5|0|0|0
BHSBVAR|Paul Richardson|1|1|2|1|2|0|0|0
BLRShiny2|Kartikeya Bolar|1|1|2|1|2|0|0|0
BMTME|Francisco Javier Luna-Vazquez|1|1|3|5|7|0|0|0
BMTME|Fernando H. Toledo|2|NA|1|5|7|0|0|0
BMTME|Osval Antonio Montesinos-Lopez|3|NA|1|5|7|0|0|0
BMTME|Abelardo Montesinos-Lopez|4|NA|1|5|7|0|0|0
BMTME|Jose Crossa|5|NA|1|5|7|0|0|0
buildmer|Cesko C. Voeten|1|1|3|1|3|0|0|0
bwsTools|Mark White|1|1|3|1|3|0|0|0
CARBayesdata|Duncan Lee|1|1|2|1|2|0|0|0
cartogram|Sebastian Jeworutzki|1|1|3|6|8|0|0|0
cartogram|Timothee Giraud|2|NA|1|6|8|0|0|0
cartogram|Nicolas Lambert|3|NA|1|6|8|0|0|0
cartogram|Roger Bivand|4|NA|1|6|8|0|0|1
cartogram|Edzer Pebesma|5|NA|1|6|8|0|0|1
cartogram|Jakub Nowosad|6|NA|1|6|8|0|0|0
CBCgrps|Zhongheng Zhang|1|1|2|3|4|0|0|0
CBCgrps|Sir Run Run Shaw hospital|2|NA|1|3|4|0|0|0
CBCgrps|Zhejiang university school of medicine|3|NA|1|3|4|0|0|0
CLVTools|Patrick Bachmann|1|1|3|5|7|0|0|0
CLVTools|Jeffrey Naef|2|NA|1|5|7|0|0|0
CLVTools|Patrik Schilter|3|NA|1|5|7|0|0|0
CLVTools|Markus Meierer|4|NA|1|5|7|0|0|0
CLVTools|Niels Kuebler|5|NA|1|5|7|0|0|0
corrarray|Rohan Reddy Tummala|1|1|2|1|2|0|0|0
covid19dbcand|Mohammed Ali|1|1|3|1|3|0|0|0
CTShiny2|Kartikeya Bolar|1|1|2|1|2|0|0|0
czechrates|Jindra Lacko|1|1|2|1|2|0|0|0
DAISIE|Rampal S. Etienne|1|1|3|12|14|0|0|0
DAISIE|Luis Valente|2|NA|1|12|14|0|0|0
DAISIE|Albert B. Phillimore|3|NA|1|12|14|0|0|0
DAISIE|Bart Haegeman|4|NA|1|12|14|0|0|0
DAISIE|Joshua W. Lambert|5|NA|1|12|14|0|0|0
DAISIE|Pedro Neves|6|NA|1|12|14|0|0|0
DAISIE|Shu Xie|7|NA|1|12|14|0|0|0
DAISIE|Richèl J.C. Bilderbeek|8|NA|1|12|14|0|0|0
DAISIE|Torsten Hauffe|9|NA|1|12|14|0|0|0
DAISIE|Giovanni Laudanno|10|NA|1|12|14|0|0|0
DAISIE|Nadiah Kristensen|11|NA|1|12|14|0|0|0
DAISIE|Raphael Scherrer|12|NA|1|12|14|0|0|0
dashboardthemes|Nik Lilovski|1|1|3|1|3|0|0|0
DataSpaceR|Ju Yeong Kim|1|1|4|4|7|0|0|1
DataSpaceR|Sean Hughes|2|NA|1|4|7|0|0|0
DataSpaceR|Jason Taylor|3|NA|1|4|7|0|0|0
DataSpaceR|Helen Miller|4|NA|1|4|7|0|0|0
dbparser|Mohammed Ali|1|1|3|4|6|0|0|0
dbparser|Ali Ezzat|2|NA|1|4|6|0|0|0
dbparser|Hao Zhu|3|NA|1|4|6|0|0|0
dbparser|Emma Mendelsohn|4|NA|1|4|6|0|0|0
dendextend|Tal Galili|1|1|4|28|32|0|0|1
dendextend|Yoav Benjamini|2|NA|1|28|32|0|0|0
dendextend|Gavin Simpson|3|NA|1|28|32|0|0|0
dendextend|Gregory Jefferis|4|NA|2|28|32|0|0|0
dendextend|Marco Gallotta|5|NA|1|28|32|0|0|0
dendextend|Johan Renaudie|6|NA|1|28|32|0|0|0
dendextend|The R Core Team|7|NA|1|28|32|0|0|0
dendextend|Kurt Hornik|8|NA|1|28|32|0|0|0
dendextend|Uwe Ligges|9|NA|1|28|32|0|0|0
dendextend|Andrej-Nikolai Spiess|10|NA|1|28|32|0|0|0
dendextend|Steve Horvath|11|NA|1|28|32|0|0|0
dendextend|Peter Langfelder|12|NA|1|28|32|0|0|0
dendextend|skullkey|13|NA|1|28|32|0|0|0
dendextend|Mark Van Der Loo|14|NA|1|28|32|0|0|0
dendextend|Andrie de Vries|15|NA|1|28|32|0|0|0
dendextend|Zuguang Gu|16|NA|1|28|32|0|0|0
dendextend|Cath|17|NA|1|28|32|0|0|0
dendextend|John Ma|18|NA|1|28|32|0|0|0
dendextend|Krzysiek G|19|NA|1|28|32|0|0|0
dendextend|Manuela Hummel|20|NA|1|28|32|0|0|0
dendextend|Chase Clark|21|NA|1|28|32|0|0|0
dendextend|Lucas Graybuck|22|NA|1|28|32|0|0|0
dendextend|jdetribol|23|NA|1|28|32|0|0|0
dendextend|Ben Ho|24|NA|1|28|32|0|0|0
dendextend|Samuel Perreault|25|NA|1|28|32|0|0|0
dendextend|Christian Hennig|26|NA|1|28|32|0|0|0
dendextend|David Bradley|27|NA|1|28|32|0|0|0
dendextend|Houyun Huang|28|NA|1|28|32|0|0|0
EBPRS|Shuang Song|1|1|3|4|6|0|0|0
EBPRS|Wei Jiang|2|NA|1|4|6|0|0|0
EBPRS|Lin Hou|3|NA|1|4|6|0|0|0
EBPRS|Hongyu Zhao|4|NA|1|4|6|0|0|0
EpiCurve|Jean Pierre Decorps|1|1|3|1|3|0|0|0
epidata|Bob Rudis|1|1|3|1|3|0|0|0
epigraphdb|Yi Liu|1|1|3|5|7|0|0|0
epigraphdb|Valeriia Haberland|2|NA|1|5|7|0|0|0
epigraphdb|Marina Vabistsevits|3|NA|1|5|7|0|0|0
epigraphdb|Tom Gaunt|4|NA|1|5|7|0|0|0
epigraphdb|MRC IEU|5|NA|1|5|7|0|0|1
evgam|Ben Youngman|1|1|2|1|2|0|0|0
GCalignR|Meinolf Ottensmann|1|1|3|4|6|0|0|0
GCalignR|Martin Stoffel|2|NA|1|4|6|0|0|0
GCalignR|Hazel J. Nichols|3|NA|1|4|6|0|0|0
GCalignR|Joseph I. Hoffman|4|NA|1|4|6|0|0|0
geofabrik|Sergio Ibarra-Espinosa|1|1|4|1|4|0|0|0
HAC|Ostap Okhrin|1|NA|1|2|3|0|0|0
HAC|Alexander Ristig|2|1|2|2|3|0|0|0
LDcorSV|David Desrousseaux|1|NA|1|5|6|0|0|0
LDcorSV|Florian Sandron|2|NA|1|5|6|0|0|0
LDcorSV|Aurélie Siberchicot|3|1|2|5|6|0|0|0
LDcorSV|Christine Cierco-Ayrolles|4|NA|1|5|6|0|0|0
LDcorSV|Brigitte Mangin|5|NA|1|5|6|0|0|0
loon.data|R. Wayne Oldford|1|1|3|2|4|0|0|0
loon.data|Adrian Waddell|2|NA|1|2|4|0|0|0
matrixNormal|Paul M. Hargarten|1|1|3|1|3|0|0|0
MGMM|Zachary McCaw|1|1|3|1|3|0|0|0
mousetrap|Pascal J. Kieslich|1|1|3|5|7|0|0|0
mousetrap|Dirk U. Wulff|2|NA|1|5|7|0|0|0
mousetrap|Felix Henninger|3|NA|1|5|7|0|0|0
mousetrap|Jonas M. B. Haslbeck|4|NA|1|5|7|0|0|0
mousetrap|Sarah Brockhaus|5|NA|1|5|7|0|0|0
MPTinR|Henrik Singmann|1|1|3|5|7|0|0|0
MPTinR|David Kellen|2|NA|1|5|7|0|0|0
MPTinR|Quentin Gronau|3|NA|1|5|7|0|0|0
MPTinR|Christian Mueller|4|NA|1|5|7|0|0|0
MPTinR|Akhil S Bhel|5|NA|1|5|7|0|0|0
mrfDepth|Pieter Segaert|1|NA|1|5|7|0|0|0
mrfDepth|Mia Hubert|2|NA|1|5|7|0|0|0
mrfDepth|Peter Rousseeuw|3|NA|1|5|7|0|0|0
mrfDepth|Jakob Raymaekers|4|1|3|5|7|0|0|0
mrfDepth|Kaveh Vakili|5|NA|1|5|7|0|0|0
nprobust|Sebastian Calonico|1|1|2|3|4|0|0|0
nprobust|Matias D. Cattaneo|2|NA|1|3|4|0|0|0
nprobust|Max H. Farrell|3|NA|1|3|4|0|0|0
pmxTools|Justin Wilkins|1|1|3|8|10|0|0|0
pmxTools|Bill Denney|2|NA|1|8|10|0|0|0
pmxTools|Rik Schoemaker|3|NA|1|8|10|0|0|0
pmxTools|Leonid Gibiansky|4|NA|1|8|10|0|0|0
pmxTools|Andrew Hooker|5|NA|1|8|10|0|0|0
pmxTools|E. Niclas Jonsson|6|NA|1|8|10|0|0|0
pmxTools|Mats O. Karlsson|7|NA|1|8|10|0|0|0
pmxTools|John Johnson|8|NA|1|8|10|0|0|0
R.methodsS3|Henrik Bengtsson|1|1|4|1|4|0|0|1
R.oo|Henrik Bengtsson|1|1|4|1|4|0|0|1
R.utils|Henrik Bengtsson|1|1|4|1|4|0|0|1
radiant.model|Vincent Nijs|1|1|3|1|3|0|0|0
rdlocrand|Matias D. Cattaneo|1|NA|1|3|4|0|0|0
rdlocrand|Rocio Titiunik|2|NA|1|3|4|0|0|0
rdlocrand|Gonzalo Vazquez-Bare|3|1|2|3|4|0|0|0
rdrobust|Sebastian Calonico|1|1|2|4|5|0|0|0
rdrobust|Matias D. Cattaneo|2|NA|1|4|5|0|0|0
rdrobust|Max H. Farrell|3|NA|1|4|5|0|0|0
rdrobust|Rocio Titiunik|4|NA|1|4|5|0|0|0
rmcorr|Jonathan Z. Bakdash|1|NA|1|2|3|0|0|0
rmcorr|Laura R. Marusich|2|1|2|2|3|0|0|0
ROOPSD|Yoann Robin|1|1|3|1|3|0|0|0
RSEIS|Jonathan M. Lees|1|1|3|4|7|0|0|0
RSEIS|Jake Anderson|2|NA|1|4|7|0|0|0
RSEIS|Leonard Lisapaly|3|NA|1|4|7|0|0|0
RSEIS|Dave Harris|4|NA|2|4|7|0|0|1
sams|Spencer Newcomb|1|NA|1|2|4|0|0|0
sams|David B. Dahl|2|1|3|2|4|0|0|0
scLink|Wei Vivian Li|1|1|3|1|3|0|0|0
SCtools|Bruno Castanho Silva|1|1|3|2|4|0|0|0
SCtools|Michael DeWitt|2|NA|1|2|4|0|0|0
spgwr|Roger Bivand|1|1|3|4|6|0|0|0
spgwr|Danlin Yu|2|NA|1|4|6|0|0|0
spgwr|Tomoki Nakaya|3|NA|1|4|6|0|0|0
spgwr|Miquel-Angel Garcia-Lopez|4|NA|1|4|6|0|0|0
stepR|Pein Florian|1|1|3|4|6|0|0|0
stepR|Thomas Hotz|2|NA|1|4|6|0|0|0
stepR|Hannes Sieling|3|NA|1|4|6|0|0|0
stepR|Timo Aspelmeier|4|NA|1|4|6|0|0|0
stuart|Martin Schultze|1|1|3|2|4|0|0|0
stuart|Johanna Schüller|2|NA|1|2|4|0|0|0
surbayes|Ethan Alt|1|1|2|1|2|0|0|0
writexl|Jeroen Ooms  [aut|1|NA|1|3|3|0|0|0
writexl|cre] John McNamara [cph]   writexl author details|2|NA|1|3|3|0|0|0
writexl|Jeroen Ooms|NA|1|1|3|3|0|0|0
BUCSS|Samantha F. Anderson|1|NA|1|2|3|0|0|0
BUCSS|Ken Kelley|2|1|2|2|3|0|0|0
ChemoSpec|Bryan A. Hanson|1|1|3|3|6|0|0|0
ChemoSpec|Mike Bostock|2|NA|2|3|6|0|0|1
ChemoSpec|Matt Keinsley|3|NA|1|3|6|0|0|0
clampSeg|Pein Florian|1|1|3|2|4|0|0|0
clampSeg|Timo Aspelmeier|2|NA|1|2|4|0|0|0
ffbase|Edwin de Jonge|1|1|2|3|4|0|0|0
ffbase|Jan Wijffels|2|NA|1|3|4|0|0|0
ffbase|Jan van der Laan|3|NA|1|3|4|0|0|0
flexsurvcure|Jordan Amdahl|1|1|3|1|3|0|0|0
learnrbook|Pedro J. Aphalo|1|1|3|1|3|0|0|0
MBHdesign|Scott D. Foster|1|NA|1|2|2|0|0|0
MBHdesign|Scott Foster|NA|1|1|2|2|0|0|0
naijR|Victor Ordu|1|1|3|1|3|0|0|0
paco|Juan Antonio Balbuena|1|NA|1|7|8|0|0|0
paco|Timothee Poisot|2|NA|1|7|8|0|0|0
paco|Matthew Hutchinson|3|1|2|7|8|0|0|0
paco|Fernando Cagua; see PLoS ONE Balbuena et al 2013 &lt;https:|4|NA|1|7|8|0|0|0
paco|doi.org|5|NA|1|7|8|0|0|0
paco|10.1371|6|NA|1|7|8|0|0|0
paco|journal.pone.0061048&gt;|7|NA|1|7|8|0|0|0
pollster|John D. Johnson|1|1|3|1|3|0|0|0
readbulk|Pascal J. Kieslich|1|1|3|2|4|0|0|0
readbulk|Felix Henninger|2|NA|1|2|4|0|0|0
RecordLinkage|Murat Sariyar|1|1|3|2|4|0|0|0
RecordLinkage|Andreas Borg|2|NA|1|2|4|0|0|0
solvebio|David Caplan|1|1|2|1|2|0|0|0
sur|Daphna Harel|1|1|3|3|5|0|0|0
sur|Sharon Weinberg|2|NA|1|3|5|0|0|0
sur|Sarah Abramowitz|3|NA|1|3|5|0|0|0
vcpen|Jason Sinnwell|1|1|3|2|4|0|0|0
vcpen|Daniel Schaid|2|NA|1|2|4|0|0|0
conf|Christopher Weld|1|1|3|9|11|0|0|0
conf|Hayeon Park|2|NA|1|9|11|0|0|0
conf|Kexin Feng|3|NA|1|9|11|0|0|0
conf|Heather Sasinowska|4|NA|1|9|11|0|0|0
conf|Lawrence Leemis|5|NA|1|9|11|0|0|0
conf|Andrew Loh|6|NA|1|9|11|0|0|0
conf|Yuan Chang|7|NA|1|9|11|0|0|0
conf|Brock Crook|8|NA|1|9|11|0|0|0
conf|Xin Zhang|9|NA|1|9|11|0|0|0
GeodRegr|Ha-Young Shin|1|1|3|2|4|0|0|0
GeodRegr|Hee-Seok Oh|2|NA|1|2|4|0|0|0
inplace|Florian Privé|1|1|3|1|3|0|0|0
IrregLong|Eleanor Pullenayegum|1|1|2|1|2|0|0|0
lmviz|Francesco Pauli|1|1|2|1|2|0|0|0
maptools|Roger Bivand|1|1|3|32|35|0|0|0
maptools|Nicholas Lewin-Koh|2|NA|1|32|35|0|0|0
maptools|Edzer Pebesma|3|NA|2|32|35|0|0|0
maptools|Eric Archer|4|NA|1|32|35|0|0|0
maptools|Adrian Baddeley|5|NA|1|32|35|0|0|0
maptools|Nick Bearman|6|NA|1|32|35|0|0|0
maptools|Hans-Jörg Bibiko|7|NA|1|32|35|0|0|0
maptools|Steven Brey|8|NA|1|32|35|0|0|0
maptools|Jonathan Callahan|9|NA|1|32|35|0|0|0
maptools|German Carrillo|10|NA|1|32|35|0|0|0
maptools|Stéphane Dray|11|NA|1|32|35|0|0|0
maptools|David Forrest|12|NA|1|32|35|0|0|0
maptools|Michael Friendly|13|NA|1|32|35|0|0|0
maptools|Patrick Giraudoux|14|NA|1|32|35|0|0|0
maptools|Duncan Golicher|15|NA|1|32|35|0|0|0
maptools|Virgilio Gómez Rubio|16|NA|1|32|35|0|0|0
maptools|Patrick Hausmann|17|NA|1|32|35|0|0|0
maptools|Karl Ove Hufthammer|18|NA|1|32|35|0|0|0
maptools|Thomas Jagger|19|NA|1|32|35|0|0|0
maptools|Kent Johnson|20|NA|1|32|35|0|0|0
maptools|Matthew Lewis|21|NA|1|32|35|0|0|0
maptools|Sebastian Luque|22|NA|1|32|35|0|0|0
maptools|Don MacQueen|23|NA|1|32|35|0|0|0
maptools|Andrew Niccolai|24|NA|1|32|35|0|0|0
maptools|Oscar Perpiñán Lamigueiro|26|NA|1|32|35|0|0|0
maptools|Ethan Plunkett|27|NA|1|32|35|0|0|0
maptools|Ege Rubak|28|NA|1|32|35|0|0|0
maptools|Tom Short|29|NA|1|32|35|0|0|0
maptools|Greg Snow|30|NA|1|32|35|0|0|0
maptools|Ben Stabler|31|NA|1|32|35|0|0|0
maptools|Murray Stokely|32|NA|1|32|35|0|0|0
maptools|Rolf Turner|33|NA|1|32|35|0|0|0
matsindf|Matthew Heun|1|1|3|1|3|0|0|0
ngramr|Sean Carmody|1|1|4|1|4|0|0|1
roahd|Nicholas Tarabelloni|1|NA|1|7|9|0|0|0
roahd|Ana Arribas-Gil|2|NA|1|7|9|0|0|0
roahd|Francesca Ieva|3|NA|1|7|9|0|0|0
roahd|Anna Maria Paganoni|4|NA|1|7|9|0|0|0
roahd|Juan Romo|5|NA|1|7|9|0|0|0
roahd|Francesco Palma|6|NA|1|7|9|0|0|0
roahd|Aymeric Stamm|7|1|3|7|9|0|0|0
SACCR|Tasos Grivas|1|1|2|1|2|0|0|0
semPower|Morten Moshagen|1|1|2|1|2|0|0|0
shinymanager|Benoit Thieurmel|1|1|3|2|4|0|0|0
shinymanager|Victor Perrier|2|NA|1|2|4|0|0|0
Spbsampling|Francesco Pantalone|1|1|3|3|5|0|0|0
Spbsampling|Roberto Benedetti|2|NA|1|3|5|0|0|0
Spbsampling|Federica Piersimoni|3|NA|1|3|5|0|0|0
SynthETIC|Benjamin Avanzi|1|NA|1|4|6|0|0|0
SynthETIC|Greg Taylor|2|NA|1|4|6|0|0|0
SynthETIC|Melantha Wang|3|1|3|4|6|0|0|0
SynthETIC|Bernard Wong|4|NA|1|4|6|0|0|0
unikn|Hansjoerg Neth|1|1|3|2|4|0|0|0
unikn|Nico Gradwohl|2|NA|1|2|4|0|0|0
vlad|Philipp Wittenberg|1|1|3|2|5|0|0|0
vlad|Sven Knoth|2|NA|2|2|5|0|0|0
RWeka|Kurt Hornik|1|1|3|6|8|0|0|0
RWeka|Christian Buchta|2|NA|1|6|8|0|0|0
RWeka|Torsten Hothorn|3|NA|1|6|8|0|0|0
RWeka|Alexandros Karatzoglou|4|NA|1|6|8|0|0|0
RWeka|David Meyer|5|NA|1|6|8|0|0|0
RWeka|Achim Zeileis|6|NA|1|6|8|0|0|0
cyclomort|Eliezer Gurarie|1|1|3|2|4|0|0|0
cyclomort|Thompson Peter|2|NA|1|2|4|0|0|0
fable.prophet|Mitchell O'Hara-Wild|1|1|3|3|5|0|0|0
fable.prophet|Sean Taylor|2|NA|1|3|5|0|0|0
fable.prophet|Ben Letham|3|NA|1|3|5|0|0|0
HeterFunctionalData|Haiyan Wang|1|1|2|4|5|0|0|0
HeterFunctionalData|Mickael Akritas|2|NA|1|4|5|0|0|0
HeterFunctionalData|James Higgins|3|NA|1|4|5|0|0|0
HeterFunctionalData|Dale Blasi|4|NA|1|4|5|0|0|0
hover|Tyler Littlefield|1|1|3|2|5|0|0|0
hover|Ian Lunn|2|NA|2|2|5|0|0|1
hiphop|Martijn van de Pol|1|1|3|3|5|0|0|0
hiphop|Lyanne Brouwer|2|NA|1|3|5|0|0|0
hiphop|Andrew Cockburn|3|NA|1|3|5|0|0|0
pdi|Jasen Finch|1|1|3|1|3|0|0|0
PO.EN|Zikun Yang|1|1|4|3|7|0|0|1
PO.EN|Chen Wang|2|NA|1|3|7|0|0|0
PO.EN|Iuliana Ionita-Laza|3|NA|2|3|7|0|0|0
BayesMRA|John Tipton|1|1|3|1|3|0|0|0
chron|David James|1|NA|1|4|7|0|0|0
chron|Kurt Hornik|2|1|4|4|7|0|0|0
chron|Gabor Grothendieck|3|NA|1|4|7|0|0|0
chron|R Core Team|4|NA|1|4|7|0|0|0
DWBmodelUN|Nicolas Duque|1|NA|1|5|7|0|0|0
DWBmodelUN|Carolina Vega|2|NA|1|5|7|0|0|0
DWBmodelUN|Pedro Arboleda|3|NA|1|5|7|0|0|0
DWBmodelUN|David Zamora|4|1|3|5|7|0|0|0
DWBmodelUN|Camila Garcia|5|NA|1|5|7|0|0|0
hdf5r|Holger Hoefling|1|1|3|3|5|0|0|0
hdf5r|Mario Annau|2|NA|1|3|5|0|0|0
hdf5r|Novartis Institute for BioMedical Research|3|NA|1|3|5|0|0|1
pbapply|Peter Solymos|1|1|3|2|4|0|0|0
pbapply|Zygmunt Zawadzki|2|NA|1|2|4|0|0|0
SmartMeterAnalytics|Konstantin Hopf|1|1|3|4|6|0|0|0
SmartMeterAnalytics|Andreas Weigert|2|NA|1|4|6|0|0|0
SmartMeterAnalytics|Ilya Kozlovskiy|3|NA|1|4|6|0|0|0
